"group_id","lang_code","alt_name"
"aeddb39d-3944-44d4-bc17-a2298421bfb5","en","Blue Bird"
"96ff321a-44b9-4722-b542-f79d0c73898c","en","Unreliable Translator L..."
"491b2758-0992-4c58-8ee6-311b77a9232c","en","If only I had a group..."
"3fbce7cb-7bc8-4864-af84-e5ad287fe0f9","en","Ichino Fansub"
"e2ffaa79-1bef-4b7d-b382-a2b98221a310","en","Leviatan Scan"
"4cb1c460-b513-4d90-8733-e4f0cdfd9681","en","PSYN"
"4cb1c460-b513-4d90-8733-e4f0cdfd9681","en","PSYN team"
"76e3e5b1-37e0-4f09-9309-94b3f6627aa6","en","Godspeed Scanlation"
"e6a6dc34-968b-4e61-a6ca-4916db0326f4","en","Darjeeling Scans"
"4bf62eb9-06ef-4049-a3a8-6afd553a5430","en","SHINOBU-CHAN"
"024c3e65-622e-4da1-addb-42ea14a1b694","en","LemonadeScans"
"8686a408-cf50-4fa4-8c17-62c0915274bc","en","The Avengers"
"bcee77b4-030e-4abd-8ddc-ae68f9fc7411","en","Umango"
"57e2e40e-94c1-4b84-aa75-ef34a0d325ad","en","Gardens of Babylon -"
"eb4d16e8-7d12-47dc-960d-8643eba0f17f","en","Champion Scans"
"4f1de6a2-f0c5-4ac5-bce5-02c7dbb67deb","en","Manga+"
"4f1de6a2-f0c5-4ac5-bce5-02c7dbb67deb","en","M+"
"4f1de6a2-f0c5-4ac5-bce5-02c7dbb67deb","en","Manga Plus"
"05504d25-86dc-4d82-a2e7-662380c30670","en","Mythical Phoenix Scanlations"
"641b2d23-a4cb-4896-a5c6-11c8fbb3c4fd","en","WoC Scans"
"8bce4e51-d470-4291-bca9-43209079530b","en","WiP"
"30e67518-dba9-433d-ba59-e5acf1a7c931","en","The Comics Journal"
"5fc97d48-1cf5-4e6f-9581-37ac9ec48ace","en","Ryuu"
"0fbadf66-6a3f-4e3e-bb19-73cf4050499e","en","Everyone's City - Fan Scan"
"973471ab-19bd-45e9-8788-b2323ac62ede","en","Web Comic"
"aa9cd17f-9962-43a7-91b8-b054cedfe816","en","hana*TSU"
"c5d848bc-e3dd-43b0-b77b-99c8998aa145","en","swe3t+moans BL Scanslation"
"ac649193-bf1a-43ea-962f-844ed6093e68","en","TheDragonBallGuy75"
"f4a67438-25a3-46c3-8b09-a4f8b374d757","en","NilaiTP Scan"
"70607404-c6c9-4467-b372-b174bb6097ad","en",""
"2107e3bf-32ef-409b-940e-79c6019fd6be","en","Avancier Scans"
"00127471-714e-4d15-a539-5487e622c5e6","en","moonlune"
"ff2c2fff-612b-4497-8bd5-dea4741c8afc","en","Central Park Media (Ex-Licenses)"
"cea919da-f743-44f9-b7a4-3616a853a3db","en","Detectiveconanforever"
"c328c5ce-dd6a-4b44-84a5-0b04955d13f4","en","Alley Cats Scan"
"ffbeb262-d9e4-4c6d-8b2a-632743854ded","en","Fanged Scans"
"0e265fab-55f5-43de-8b38-aa874e06e43c","en","Suzaku The Knight"
"96f98b7e-cf02-4a39-9c09-e33da9e3035e","en","Magi Scans"
"938b7e31-2f23-471d-aa33-5fd104da54ee","en","HZD Scans"
"46a5219d-454f-48da-ac29-c3fa17871c96","en","doujin-moe.us"
"6754c033-2ed3-4408-87cf-da27fb531792","en","Hakugyokukoumachireieienkan Scans"
"5d428109-4c8f-4d02-908d-923d45dd70eb","en","Tsuki Mirage"
"efff0b4e-e893-4690-a5f6-264a549b23ab","en","OneHallyu"
"198a9869-e386-4432-a513-3d42de3b3bbe","en","Ookiku Furikabutte"
"b2def6de-2728-44f8-8c0f-a307584159f7","en",""
"57228160-5d94-47b5-ad53-7f1d3a4c3fb4","en","Dark Shadow Scans"
"723e7ad7-f3be-46d8-ac84-e8f56115eb92","en","Jmcrap Translations"
"82a89f13-5348-4123-a6d2-91d051d7d90a","en","Label /A/"
"82a89f13-5348-4123-a6d2-91d051d7d90a","en","The Anon"
"82a89f13-5348-4123-a6d2-91d051d7d90a","en","Fuck you Readers!"
"82a89f13-5348-4123-a6d2-91d051d7d90a","en","Fuck yeah Readers!"
"efd8e5ca-eef9-43c6-9a1a-d5199c43d758","en","FwPA"
"2eb5e2ec-7468-486a-8047-379749bcfdd0","en","JAnimeS"
"35d2b2eb-c29c-40d7-97f9-32f4d5827e25","en","Subapics"
"bf8c9e81-e186-4dd8-a141-dc60f8b3df4f","en","AnimParadise"
"548ab48d-7d9a-4c11-a25d-59e55544033e","en",""
"a5244562-391a-4623-87d8-1627db706dbf","en","Shitty Korean Translations"
"a42a5412-84f2-425b-ab2d-c2352bfb85b8","en","Manhua MD scans"
"1ed7150c-8da9-4221-a2df-0b1fbc17c05a","en","envykills"
"3b8e7407-28f2-4d8e-8105-8f09cb36a6a5","en","Jump-Scans"
"81e1f1ee-c8aa-4891-a61a-dd4ba0af7f12","en","HNI-Comeback"
"6b486092-255d-404e-afd3-d6d7abe3cfe5","en","Kuroi Raven"
"1ef6506b-0132-4f77-b013-30c54f84adb7","en","Taida Scans"
"cc1b7e4e-847c-4b7a-ba36-56494e0f45e6","en","deresutelines"
"e58231df-4d2e-413b-8ae1-936cfd9aba9b","en","The One Man Translation Team"
"ce001f43-b740-49ab-a77e-c8c229aa2fff","en","Editorial Hourai Doll"
"0a024510-1f88-4553-a745-65788cc3e763","en","QB"
"0a024510-1f88-4553-a745-65788cc3e763","en","NoNameTeam"
"a1fb1ce5-7899-42c0-a027-8733a8ca6811","en","MangaBox"
"43a13d2b-21d5-4453-ad78-cba547b7e879","en","mangacultivator"
"25444937-3129-4bcb-ab56-783325ac4d42","en","leaf translation"
"2184f123-bda1-42ac-8f9f-0f2cd9ad6ee7","en","Bebexiu Shoujo"
"56d19f79-fd13-48aa-9e04-606c5677a68f","en","10M Sacrifices"
"41d25f11-9813-4791-ae1a-1ac15561b313","en","Wiseman Scan"
"e94b9da2-19f9-4b67-b0ed-279c24e666ff","en","Jead & Locke Scans"
"1b5dc986-fe3b-4e3c-92da-0f7c4289e04c","en","Scanlation Obras Perdidas"
"a6c50173-6098-4ced-b3bb-074ca3ce2e4b","en","daburuwosagase"
"af7391f7-a6e1-4427-8281-f1cf0077ee69","en","Questionable Scans"
"d9a380da-a2be-4a74-9b1b-b2db9c0df927","en","FTV Scanlations"
"93af5c86-9286-4159-b485-e92fe60258e9","en","Unofficial Twstd"
"3a06804d-5758-4fbb-b96f-0fcaea1ae33b","en","Academia Manga Indonesia"
"b9425e45-7ba8-4ef0-b8da-672508716edc","en","KTS"
"fe0da9bc-fd70-4802-838e-eae609015e46","en","Getter-Robo"
"ad395d97-ab86-416a-b8ca-a4b03054443c","en","Soviet Scans"
"00f92fb2-fc3e-4e6d-8c05-8c98812928a0","en","Rototiller"
"3eae97b3-65e9-4956-b3fe-45d06a9ff785","en","Hayate Translation Team"
"76b9533d-7f24-47f9-bcd2-17e1ce927a9d","en","KiraKira-Boshi"
"ae63683d-d7d3-452b-beb9-8f89c814993f","en","DMP"
"ae63683d-d7d3-452b-beb9-8f89c814993f","en","DMI"
"ae63683d-d7d3-452b-beb9-8f89c814993f","en","Digital Manga"
"ae63683d-d7d3-452b-beb9-8f89c814993f","en","Inc."
"2cfd06bf-4746-469e-80a6-6dec4063482e","en","Whatever"
"867535aa-09a3-4182-9ec6-c6884e1fed6e","en","we got the glossy finish"
"43a6668b-eca9-4b76-bb95-f2d84fe650ee","en","EJ"
"43a6668b-eca9-4b76-bb95-f2d84fe650ee","en","Endless Journey Scans"
"85a18fd2-a16a-4aed-9aa2-38f96cdc0236","en","Manga-Presence Scans"
"768fcaab-a51f-409f-b8e1-2160dac76441","en","Scorpion1d3x"
"768fcaab-a51f-409f-b8e1-2160dac76441","en","Citrusteam"
"6ba04c4e-36d2-4e5d-b1a2-390a7656b24c","en","SlayeR ScanS"
"a560afd4-183b-402a-b321-f6858bfffb24","en","MangaVy"
"1864d8a3-1eb4-47d9-a068-feaa27ac30d3","en","Manga-ScanFrance"
"560e5a45-1abb-4df8-b3fa-df263946806d","en","Omari's Sister"
"560e5a45-1abb-4df8-b3fa-df263946806d","en","Bakeneko's Lair"
"e2f9d3e0-8239-424e-9a18-cf76f03d51d3","en","Trollscans"
"cb6dec63-7356-4622-b2a0-c8a760d7aaf6","en","Absquatulate Scans"
"a2497235-62d8-4ab3-86cf-f0289e9b9bd6","en","Yumemiru Translations"
"ab285786-38bb-48ab-be8c-e30e1d3b19af","en","Freewheeling Scans"
"ab285786-38bb-48ab-be8c-e30e1d3b19af","en","FWS"
"9569e03c-27ba-49f6-b464-5c135ca1f9fc","en","Mel0dy scans"
"88986c94-9ed3-402e-a734-85cbc5bc4a66","en","Gteam"
"80285ca7-7f90-441b-bab0-bb1d267f4413","en","Manga Works Scans"
"80285ca7-7f90-441b-bab0-bb1d267f4413","en","MangaWorks Scans"
"2a025689-0e34-4c0b-911c-bc0a839cc446","en","Collab Circuit"
"b9829aaf-232b-44fe-b274-9c73000a7d8a","en","Honeysuckle Scanlation"
"b9829aaf-232b-44fe-b274-9c73000a7d8a","en","Scarlet blossom Scans"
"b9829aaf-232b-44fe-b274-9c73000a7d8a","en","BL Caf"
"c80924b7-c91f-4a7e-91aa-d41181c65154","en","Esth tique"
"f63f75ee-5217-4849-abb6-226ac7178d55","en","Red Vodka"
"80636954-4e21-4e28-8ca6-c5808cbecd7d","en","BEGGARS' SECT SCANTLATIONS"
"c2c881fd-becf-4bfa-b3be-a8e9906aadaa","en","bella scans"
"68df0ccb-0bd8-4ca0-8099-f2227114335a","en","Hoshi Manga Team"
"8af81162-8f27-40bb-9c9a-b3859ac68d67","en","Yesnostalgiagoogles"
"b8a6d1fc-1634-47a8-98cf-2ea3f5fef8b3","en","MDScans"
"880541cf-4299-40a6-8ca3-8b94025ebeee","en","KomBatch Fengsubs"
"18564bee-e52b-4c21-a8e6-0268e6fe06e5","en","Pandamic Scans"
"614a5ef0-69ac-431b-8a87-332368e1981f","en","SLC"
"614a5ef0-69ac-431b-8a87-332368e1981f","en","Secret Land Castle"
"614a5ef0-69ac-431b-8a87-332368e1981f","en","SecretLandCastle"
"8f9dec6f-d9b6-4399-9b4b-c74cb7b60f37","en","Mystery Weeb"
"c4505baa-75a0-4a26-ab12-b7b1add19871","en","Muda Scanlation"
"1458b7ac-fe98-42f2-a879-aa27fe8b288d","en","Lemon Tart Scans"
"a0195982-96f5-4948-8966-b5e558391424","en","Dark Ryuu Fansub"
"7448614d-c014-428c-bb52-ab5ba88ebb27","en","-"
"cb73d8de-4233-4286-8b58-f9dd00cff618","en","Kuzu to Megane to Bungaku Shoujo (Nise) Scanlations"
"5cdb5b08-e527-4ba1-b542-a9b91a3596b8","en","Traumerei Scans"
"d5bf993b-e726-494c-b6ea-2146d534aa67","en","Kogarasumaru Project"
"613176b8-ee9e-47e3-b521-8b11cf3f580b","en","Sweet Temptations"
"caf0d1da-a790-49d0-833c-ce74d651c8a1","en","Doki"
"caf0d1da-a790-49d0-833c-ce74d651c8a1","en","Doki Scans"
"82ff50d5-2e1f-43a5-a232-79174e1db9bd","en","749"
"643ded2c-38c6-4151-9068-4973ffc5d9be","en","Fries"
"eec2372e-b7e9-40cb-a77e-4f87adaf207f","en","R B  Scans"
"c2ecf7e7-1fdc-44d1-918d-6d2dec046c0e","en","Sakugara Scanlations"
"c601114d-3d4c-4617-89e6-c5ea8e48157b","en","UFW"
"c601114d-3d4c-4617-89e6-c5ea8e48157b","en","Unlimited Fap Works"
"10743b5f-7f1c-4b17-8c2f-7affd6ed95c1","en","Cafe Doujinshi Latte"
"a2e1af0b-64bc-4a86-9a29-6cc781cec2e3","en","Team Katsudon"
"c7667c28-52de-4d92-82ba-b293bcc96339","en","NASS"
"a9cb7906-ad9d-4022-9b36-e7ae23d02585","en","Why Are We Always Getting Sniped Scans"
"a9cb7906-ad9d-4022-9b36-e7ae23d02585","en","Seriously Masochist Squad"
"a37dbc2c-188b-416b-864c-9c1c73dfc758","en","Chicken Scans"
"accd6991-f937-4dc5-9ae3-310f08b3f1df","en","Furawa Manga Team"
"6e085cc3-e36a-4ad0-8db6-c0f836336817","en","sampah translation"
"a3b75b67-22f6-4035-a91f-ce6547caf094","en","Emperor Scanlation"
"cf0a5c2c-23d2-46e7-9d33-636263ae96de","en","WSDHANS"
"26e19083-dda2-4a4e-b706-51546e3cb374","en","Le Cercle du Webtoon"
"c2e8d326-e342-49fe-9d36-2e8831e20332","en","yukis0ra"
"eff7e8a5-36d7-4b45-8a91-6f3a7b1c2533","en","Facedesk Translations"
"aed39467-d5f8-4212-83ca-7e82586324c7","en","Lively Scans"
"d73c780b-b4f2-402e-b49b-548cb3d33677","en","RicePunch"
"cd9c624c-dfb1-4af9-ba5f-56768f6d96d0","en","ENKNOWN~TEAM"
"2224f8d7-a722-497c-b378-20b91f2d28c1","en","Mika Scans"
"1071e71d-cc55-4fa6-81d1-4b5913a2fde5","en","Sense-Scans"
"432f57a8-dde2-4a53-b26d-dffbc8f56ffd","en","_ragdoll"
"9d58840c-38df-400d-b362-3f26dbaa2780","en","Team Takoyaki"
"bd64f84d-2350-4be1-8970-c8741b8c46c1","en","TenseiScans"
"82ce5c89-70c4-4105-b3ad-550c448033cc","en","Nashoki"
"f51baacd-ab6f-4308-b156-00c6c0e811e0","en","BSI"
"dec9b8cb-01ba-4ec0-8262-6a103236469e","en","ded scans"
"9980cf57-8d6f-4c20-a7ea-f3252cf129fc","en",""
"403f904d-949a-42f5-8bbf-e53f0b53557e","en","denivgr"
"ed68f80c-b4b6-46ea-99c0-78e717c1832c","en","MLS"
"47de3354-7486-4a6a-8539-1e35e195eee5","en","WOWScans!"
"bc556183-f0da-454f-8807-f0e7fc80cd2c","en","#kodocha"
"b07593d8-f3a8-4e39-8f2b-326c13b98cd4","en","RiSQ"
"ba83b2a6-7b2f-431b-9cae-4436cd8cce42","en","AnimaRegia Scantrad"
"4b98efe6-e5f2-4077-b9b3-193e3d9c5022","en","Hawks"
"34dc57ef-783c-4f37-a25c-ba4a3181cec5","en","Yakisoba LLC"
"34dc57ef-783c-4f37-a25c-ba4a3181cec5","en","Yakisoba Scanlations"
"3d2d56bd-dbc9-4838-80d1-cce226e1c763","en","VIScans"
"50fb2c0a-fdab-4a26-b8d4-a94ad75f3295","en","UDMS"
"477d6a9b-1d73-4eeb-9a25-75e5c2f89dd8","en","Seryne"
"37679adc-c546-4616-890b-e2751879a8f4","en","Rinruririn"
"881942fd-44a4-425f-a4f5-682dedd1ad4b","en","straydog12"
"3bc75edd-775f-4c9c-8441-16fda7aca492","en","DCRP"
"3bc75edd-775f-4c9c-8441-16fda7aca492","en","Detective Conan Remake Project"
"3bc75edd-775f-4c9c-8441-16fda7aca492","en","-scans"
"e574d3a4-d4f5-4a2a-b195-e11e053d1758","en","1234"
"79c7424e-8fbf-4b06-8736-c470d1594c2c","en","Lonely AF"
"79c7424e-8fbf-4b06-8736-c470d1594c2c","en","PEACHY"
"78767bb1-0995-48c3-8b12-ea12aa3f79a1","en","YuriProject"
"78767bb1-0995-48c3-8b12-ea12aa3f79a1","en","Neo Project"
"261d8371-ed51-4d00-95e4-2f0025c3f06d","en","Ichiroku Scans"
"0d8c34b0-be6e-4707-bd1a-9c588a19571c","en","nijiiro_project"
"024141f2-3fb3-49f9-adff-7cf0b952bfcf","en","Samurais In Pyjamas"
"626f45a5-1e8a-45eb-bf01-bd64ba3f6928","en","Amai Neko"
"626f45a5-1e8a-45eb-bf01-bd64ba3f6928","en","Anime Novel"
"626f45a5-1e8a-45eb-bf01-bd64ba3f6928","en","Crap Scanlations"
"8f360e4d-fefe-4b5f-b4a7-cecf4ef2207f","en","COVID-19"
"8f360e4d-fefe-4b5f-b4a7-cecf4ef2207f","en","2019-nCoV"
"8f360e4d-fefe-4b5f-b4a7-cecf4ef2207f","en","Wuhan Jiayou!"
"8f360e4d-fefe-4b5f-b4a7-cecf4ef2207f","en","Winnie the Pooh"
"cbab427f-1f2b-4c86-b189-f8283b8b8a37","en","Namae no nai kaibutsu"
"a210de62-c843-4dc3-9fb5-9d1cf0001b70","en","KCCSI"
"a4715934-4dec-4d76-88ab-b74431f6042a","en","Simp-ly Love"
"a4715934-4dec-4d76-88ab-b74431f6042a","en","Love Isn't Always Normal"
"1714c02a-2d5b-4e8d-893b-527e67d25e4d","en","Unusual"
"d7eb99fd-4444-4fbc-bd3c-c55ed35188e2","en","Ow! Scan"
"b63185a0-e60a-48b1-be13-067169526100","en","QB translations"
"d295ed75-4dbc-4462-8d72-7b81a2d8f15a","en","Ikeman Scans"
"0d89215f-a58b-4e2f-8cbf-6449d5601e00","en","Ruisu012"
"60532f04-c554-49a2-a1fb-98ab7ac4319b","en","cedr777"
"60532f04-c554-49a2-a1fb-98ab7ac4319b","en","Triple777Scans"
"454237ee-f9d9-47c1-bd6c-0e1fd91ae342","en","corazon"
"9263b935-59a3-4a18-9543-133945ac7d8b","en","AIUEO Mang s"
"f81fa75d-dd1f-4d1a-8c40-1a96c3fab3c8","en","The black Lantern"
"7c30a3c2-3fad-4178-a983-9993c345b1bf","en","JD scans"
"ca3a921f-302a-4df7-affa-4f1002d15282","en","DrMaster Publications Inc."
"7df8aabe-8461-492d-b8cc-6c25b5e1b974","en","AkaiYuhiMun team"
"679d988a-9fe4-4550-b194-52813d5a8105","en","Hotties"
"80d82a0e-4ed3-41b5-8f2f-9eb2a06e8daf","en","Sol Cafe Scans"
"92a260a8-e64d-49f8-8c3d-72ef40e2f3ff","en","009 no Fansub"
"c11bde30-bd07-47ed-a032-067b56bf0752","en","Kira-Kira Scanlation Group"
"f9363474-e5b3-4d96-a911-b10eda11b17b","en","GS Team"
"b4799393-29e4-4de1-b914-bb7964219308","en","FxF Scan"
"4dab4e83-1f00-475f-84e8-b9d802935406","en",""
"5a0f2e6f-b094-4a1a-ac4e-0198f537f84b","en",""
"5946c4d4-ec7f-4751-9cd2-c24c645ca3d8","en","Zorua Scan"
"454fc66b-541c-479d-99c8-a9c2938bdffa","en","Bullet Scans"
"269a64ed-824a-4deb-9b40-15be5f4dd41f","en","El Lector Solitario"
"8c2945c8-d43f-41b2-bde6-f72b326a4ede","en","Vera Scanlations"
"f2c29b4d-6ac6-4829-a144-65535f06a5e1","en","Fire Nation Scans"
"435df16d-97cd-4149-94b3-bc9fe9b05b56","en","TwoDee Scans"
"9d5bf4d4-03d7-4407-8c9f-e855d341df6d","en","Yuri House"
"9d5bf4d4-03d7-4407-8c9f-e855d341df6d","en","emer"
"d2c9bf71-14ab-4f7c-aae3-883eb1d7d488","en","Manga Dream4"
"9538d0b8-586d-4db4-bbd5-3e538da8ee9b","en","Ochaku na no Chimu"
"68bd98c8-f2aa-4bc6-9ee4-a80d7a1410f9","en","Medallion Scans"
"68bd98c8-f2aa-4bc6-9ee4-a80d7a1410f9","en","Merkai Scans"
"68bd98c8-f2aa-4bc6-9ee4-a80d7a1410f9","en","Miraki Scans"
"68bd98c8-f2aa-4bc6-9ee4-a80d7a1410f9","en","Merika Scans"
"15492cd4-70a2-4462-92d1-c011caa667a3","en","Solaris-SVU"
"e1c23f4c-593d-49c7-abd2-3c5efb23b3ff","en","Dreaming Scanlations"
"6ba68502-5f06-4115-9006-753109be1a9c","en","Disappointing Scanlations"
"e9f88de1-bdf0-4033-9f8f-6ce10fb4c9d0","en","Bushido Angel Adventures"
"fba00384-219a-4a4a-a720-0e0dea8df0c8","en","Kumoribi Scanlations"
"25131f77-7e19-46ef-bee5-2eb24444d432","en","S-ScanLation"
"640114af-8b0b-4862-9aa7-581cdd13a661","en","mojibake scans"
"0bb0c4ee-ab77-4350-a988-0664285a5e87","en","Phantom Team"
"e8038188-d79b-41f8-9a7d-717a73c014c9","en","Multiscans"
"ea7ccccd-a017-4869-a1d0-1214da609ce0","en","Magnificent Aurora Scans"
"dd155a93-c19d-4d52-a2f5-629fcecd569b","en","Yuusei"
"ca84d695-4e0e-48ba-8627-3cbb4f44f95b","en","R/Beastars Discord"
